,ALLGRADEX,SEGRADES,CENREG,EDCPUB,EDCCAT,EDCREL,EDCPRI,EDCINTK12,EDCHSFL,DISTASSI,SCHRTSCHL,SCHLMAGNET,SEENJOY,SEABSNT,FCSCHOOL,FCTEACHR,FCSTDS,FHHOME,FHWKHRS,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,HHENGLISH,CSPEAKX,HHTOTALXX,HHPRTNRSX,P1REL,P1SEX,P1AGE,P2AGE,P2REL,P2SEX,P2MRSTA,PAR1EMPL,PAR1FTFY,PAR2FTFY,NUMSIBSX,TTLHHINC,OWNRNTHB,HVINTSPHO,HVINTCOM,INTACC,CHLDNT,LRNCOMP,LRNTAB,LRNCELL
4326,8,1,4,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1,1,2,1,2,3,1,2,1,2,2,2,1,2,7,1,2,2,2,2,2,1,4,5.0,0.0,1,2,45,45,1,1,1,1,2,1,2,9,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0
4327,9,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,3,1,3,3,3,1,1,2,2,1,2,1,1,2,6,2,1,2,2,2,2,1,2,4.0,0.0,5,1,38,36,1,2,1,1,1,3,0,4,2,1.0,1.0,1.0,2.0,1.0,1.0,2.0
4328,10,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,3,1,1,2,1,2,1,2,2,2,2,2,2,2,7,2,2,2,1,2,2,1,2,5.0,0.0,1,2,47,51,1,1,1,2,2,1,2,8,1,1.0,1.0,1.0,2.0,1.0,2.0,2.0
4329,14,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,2,2,3,5,1,2,1,2,2,1,1,4,2,2,1,2,2,1,1,2,4.0,0.0,1,2,46,47,1,1,1,1,1,1,1,9,1,1.0,1.0,1.0,2.0,1.0,2.0,1.0
4330,11,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,1,2,3,5,1,2,2,1,1,1,1,3,1,1,2,2,1,1,1,2,6.0,0.0,5,2,67,71,5,1,1,1,1,1,1,10,1,1.0,1.0,1.0,2.0,1.0,2.0,2.0
4331,12,1,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,1,2,4,12,1,1,1,1,1,1,1,7,1,2,1,2,1,2,1,2,5.0,0.0,1,2,42,43,1,1,1,1,1,1,2,9,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0
4332,2,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,1,1,4,2,1,1,1,1,1,1,1,7,1,2,2,2,2,1,1,2,5.0,0.0,1,2,34,33,1,2,1,4,3,1,2,9,2,1.0,1.0,1.0,3.0,1.0,1.0,1.0
4333,9,4,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,1.0,3,2,2,3,2,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,4.0,0.0,1,2,43,57,1,1,1,4,3,1,1,4,2,1.0,1.0,1.0,3.0,1.0,1.0,1.0
4334,10,1,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,1,1,2,4,5,2,2,1,2,1,1,2,6,1,1,1,2,2,1,1,2,4.0,0.0,1,1,46,46,1,2,1,1,1,2,1,10,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0
4335,11,1,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,1,1,1,4,7,1,2,1,2,2,2,2,3,2,1,1,2,2,1,1,2,5.0,0.0,1,2,44,42,1,1,1,1,1,1,2,9,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0
4336,7,1,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,2,1,4,10,1,1,1,2,1,1,2,7,2,2,2,2,2,1,1,2,3.0,0.0,1,2,33,33,3,1,5,1,1,1,0,3,2,1.0,1.0,1.0,1.0,2.0,1.0,1.0
4337,2,1,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1,2,1,1,1,3,1,1,1,1,2,2,2,2,5,2,2,2,2,1,2,1,2,4.0,0.0,1,1,31,32,1,2,1,1,1,1,1,7,1,1.0,1.0,1.0,2.0,2.0,1.0,1.0
4338,14,2,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,2,1,2,1,4,15,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,5,4.0,0.0,1,1,43,43,1,2,1,1,2,1,1,2,1,1.0,1.0,1.0,1.0,1.0,2.0,2.0
4339,6,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,1,1,3,4,2,2,2,2,1,1,2,4,2,2,1,2,2,1,1,2,4.0,0.0,1,2,40,43,1,1,1,4,2,1,1,10,1,1.0,1.0,1.0,3.0,1.0,1.0,2.0
4340,8,1,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,2,1,1,1,3,6,1,1,1,1,2,2,1,7,1,1,2,1,1,1,1,2,4.0,0.0,5,1,52,50,5,2,1,1,1,3,0,9,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0
4341,15,3,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1.0,2,2,2,2,2,4,15,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,3.0,0.0,3,1,46,40,1,2,1,1,1,1,0,9,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0
4342,12,1,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,2,1,4,7,2,1,1,1,1,2,2,3,1,2,2,2,2,1,1,2,4.0,0.0,1,1,51,51,1,2,1,1,1,2,1,9,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4343,8,1,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2.0,1,1,2,1,2,3,10,1,2,2,2,1,1,1,7,2,1,2,2,1,1,1,2,4.0,0.0,2,2,38,44,2,1,1,1,1,1,0,8,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0
4344,6,1,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,1,2,1,3,5,1,2,1,2,1,1,1,7,2,2,2,2,2,2,1,2,5.0,0.0,1,2,40,49,1,1,1,1,1,1,2,12,1,1.0,1.0,1.0,2.0,2.0,1.0,2.0
4345,13,1,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2,3,2,2,2,2,5,1,1,1,2,2,2,2,0,2,2,2,2,2,2,1,2,5.0,0.0,1,1,49,45,1,2,1,1,2,3,2,5,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0
4346,6,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,3,1,2,2,2,3,4,1,1,1,2,1,1,2,3,1,1,2,2,2,1,1,2,4.0,0.0,1,1,33,30,1,2,1,1,1,1,1,8,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0
4347,13,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,2,1,3,10,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,5.0,1.0,1,1,46,48,3,2,5,1,1,1,2,10,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0
4348,5,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,1,1,1,4,5,1,1,1,1,1,1,1,7,2,1,1,2,2,1,2,2,3.0,0.0,1,1,35,39,1,2,1,1,1,1,0,8,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0
4349,10,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,2,2,2,2,2,1,1,2,1,1,1,3,2,2,1,1,1,2,2,2,4.0,0.0,3,1,36,32,1,2,3,1,1,1,1,7,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4350,13,1,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,2,2,2,2,4,10,1,2,1,2,1,1,2,5,2,2,2,2,2,2,1,2,3.0,0.0,1,2,40,41,1,1,1,3,2,1,0,9,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0
4351,4,1,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,1,1,1,4,5,1,1,1,1,1,2,2,7,1,1,1,1,2,1,1,2,6.0,0.0,1,2,47,47,1,1,1,1,2,1,3,10,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0
4352,15,2,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,3,1,2,1,1,4,6,2,1,2,2,2,1,2,6,2,2,2,2,2,2,1,2,5.0,0.0,1,2,42,43,1,1,1,2,2,1,2,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4353,13,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,3.0,0.0,1,2,48,37,3,1,1,1,1,1,0,9,1,1.0,1.0,1.0,2.0,1.0,2.0,1.0
