BASMID,SEGRADES,CENREG,EDCPUB,EDCCAT,EDCREL,EDCPRI,EDCINTK12,EDCHSFL,DISTASSI,SCHRTSCHL,SCHLMAGNET,SEENJOY,SEABSNT,FCSCHOOL,FCTEACHR,FCSTDS,FHHOME,FHWKHRS,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,HHENGLISH,CSPEAKX,HHTOTALXX,HHPRTNRSX,P1REL,P1SEX,P1AGE,P2REL,P2SEX,P2MRSTA,PAR1EMPL,PAR1FTFY,PAR1MARST,PAR2FTFY,PAR2MARST,NUMSIBSX,TTLHHINC,OWNRNTHB,HVINTSPHO,HVINTCOM,INTACC,CHLDNT,LRNCOMP,LRNTAB,LRNCELL
20191000886,1,3,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,10,2,2,1,2,1,2,2,4,2,1,2,2,2,2,1,2,4,0,1,1,42,1,2,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1
20191000898,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,4,7,2,2,2,2,2,1,1,3,2,2,2,2,2,1,1,2,4,0,5,2,51,5,1,1,1,1,1,2,1,0,2,1,1,1,1,1,1,1,1
20191000976,1,2,1,1,2,2,2,2,1,2,2,1,1,1,2,2,4,12,2,2,1,1,1,1,1,5,2,1,2,1,2,1,1,2,3,0,1,2,43,1,1,1,1,1,1,1,1,0,10,1,1,1,1,1,1,1,2
20191000978,1,4,1,2,2,2,2,2,1,2,2,2,1,1,1,1,3,6,2,2,2,2,2,2,1,4,2,2,2,2,2,1,2,2,3,0,1,2,48,1,1,1,4,3,1,2,1,0,8,1,1,1,1,2,1,2,1
20191001013,5,1,1,2,2,2,2,2,1,2,1,2,1,2,1,2,3,8,2,2,1,2,1,1,1,0,1,2,2,2,2,1,1,2,4,0,5,2,74,5,1,1,4,3,1,3,1,0,3,1,1,1,1,1,1,2,2
20191001030,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,4,7,1,1,2,2,1,1,2,7,2,2,1,2,2,2,1,2,5,0,1,2,44,1,1,1,1,1,1,1,1,2,8,1,1,1,1,1,1,1,1
20191001081,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,5,1,2,2,2,1,2,2,3,2,2,1,2,1,1,2,5,5,0,1,1,54,1,2,1,1,1,1,3,1,2,5,1,1,1,1,1,1,2,1
20191001086,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,4,10,1,2,2,2,1,2,1,7,2,2,1,2,2,1,1,6,3,0,1,2,52,1,1,1,1,2,1,2,1,0,9,1,1,1,1,1,2,1,2
20191001108,5,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,3,5,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,3,0,1,2,42,1,1,1,4,2,1,1,1,0,6,1,1,1,1,2,1,2,1
20191001134,1,4,1,2,2,2,2,2,1,2,2,2,2,2,1,1,3,3,2,2,1,2,2,1,1,5,2,1,1,2,2,1,2,3,3,0,1,2,53,1,1,1,4,3,1,2,1,0,5,1,1,1,1,2,1,2,1
20191001167,3,4,1,2,2,2,2,2,2,2,2,2,4,1,1,1,4,15,2,2,2,2,2,1,1,7,1,2,1,2,2,2,2,3,6,0,1,2,36,3,1,1,1,1,1,1,1,3,8,1,1,1,1,1,1,1,1
20191001171,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,4,2,1,1,1,1,1,1,1,5,2,2,1,2,2,1,1,2,4,0,1,2,42,1,1,1,2,2,1,1,1,1,10,1,1,1,1,2,1,2,1
20191001173,3,1,1,2,2,2,2,2,1,2,2,2,1,2,3,2,3,5,1,2,2,1,1,1,1,4,2,2,2,2,2,2,1,2,5,0,1,2,55,1,1,1,1,1,1,3,1,2,8,1,1,1,1,2,1,1,1
20191001197,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,3,3,1,2,2,2,1,1,2,6,2,2,1,2,2,1,1,2,4,0,1,2,43,1,1,1,1,1,1,1,1,1,10,1,1,1,1,2,1,2,1
20191001202,2,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,3,4,1,2,2,2,2,1,1,4,2,2,2,2,2,2,1,2,4,0,1,1,50,1,2,1,1,1,1,3,1,1,11,1,1,1,1,1,1,1,1
20191001205,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,1,3,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,0,1,2,54,1,1,1,4,3,1,2,1,0,1,2,1,1,1,1,1,2,2
20191001219,3,3,1,2,2,2,2,2,1,2,2,3,1,2,1,3,4,8,1,1,2,1,1,1,1,5,1,1,1,1,2,1,1,2,6,0,2,2,53,2,1,1,4,3,1,1,1,3,11,1,1,1,1,1,1,2,1
20191001244,1,4,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,4,1,1,1,1,1,1,2,6,2,2,2,2,2,2,1,2,5,0,2,2,54,2,1,1,1,1,1,1,1,2,12,1,1,1,1,2,2,1,2
20191001260,2,3,1,2,2,2,2,2,1,2,2,3,1,1,1,1,3,10,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,5,0,1,2,39,1,1,1,1,1,1,1,1,2,9,1,1,1,1,1,1,1,1
20191001271,1,4,1,2,2,2,2,2,1,2,2,2,1,3,3,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,5,0,1,2,34,1,1,1,2,2,1,2,1,2,7,1,1,1,1,3,1,2,2
20191001318,2,3,1,2,2,2,2,2,1,2,2,3,1,3,3,4,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,4,0,1,2,56,1,1,1,4,3,1,1,1,1,4,1,2,1,2,2,1,2,2
20191001351,2,4,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,1,2,1,3,2,2,1,2,2,1,1,6,6,0,1,2,42,1,1,1,4,3,1,1,1,3,6,1,1,1,1,2,1,2,1
20191001376,2,4,1,2,2,2,2,2,1,2,2,2,1,2,3,2,2,1,1,2,2,2,2,1,1,4,2,2,2,2,2,1,2,3,6,0,1,2,40,1,1,1,2,2,1,1,1,2,4,1,1,1,1,3,1,2,1
20191001391,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,3,3,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,4,0,1,2,36,1,1,1,4,3,1,1,1,1,11,1,1,1,1,2,1,1,1
20191001427,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,1,2,2,2,2,3,2,2,2,2,2,1,1,2,3,0,6,1,42,6,2,1,3,2,1,3,1,0,6,2,1,2,3,1,2,2,1
